Java,Clean_Java
"public long skip(long byteCount) throws IOException {return Streams.skipByReading(this, byteCount);}",public long skiplong byteCount throws IOException return StreamsskipByReadingthis byteCount
"public ByteBuffer get(byte[] dst) {return get(dst, 0, dst.length);}",public ByteBuffer getbyte dst return getdst 0 dstlength
public void setHideObj(short hide){field_1_hide_obj = hide;},public void setHideObjshort hidefield1hideobj  hide
public final void setLastColumnRaw(short column) {field_4_last_column = column;},public final void setLastColumnRawshort column field4lastcolumn  column
public static PrintCellComments valueOf(int value){return _table[value];},public static PrintCellComments valueOfint valuereturn tablevalue
public DBInstance deleteDBInstance(DeleteDBInstanceRequest request) {request = beforeClientExecution(request);return executeDeleteDBInstance(request);},public DBInstance deleteDBInstanceDeleteDBInstanceRequest request request  beforeClientExecutionrequestreturn executeDeleteDBInstancerequest
"public String require(Map<String,String> args, String name) {String s = args.remove(name);if (s == null) {throw new IllegalArgumentException(""Configuration Error: missing parameter '"" + name + ""'"");}return s;}",public String requireMapStringString args String name String s  argsremovenameif s  null throw new IllegalArgumentExceptionConfiguration Error missing parameter   name  return s
"public CompositeReaderContext build() {return (CompositeReaderContext) build(null, Reader, 0, 0);}",public CompositeReaderContext build return CompositeReaderContext buildnull Reader 0 0
"public GetImageLayerRequest() {super(""cr"", ""2016-06-07"", ""GetImageLayer"", ""cr"");setUriPattern(""/repos/[RepoNamespace]/[RepoName]/tags/[Tag]/layers"");setMethod(MethodType.GET);}",public GetImageLayerRequest supercr 20160607 GetImageLayer crsetUriPatternreposRepoNamespaceRepoNametagsTaglayerssetMethodMethodTypeGET
public ParameterNameValue(String parameterName) {setParameterName(parameterName);},public ParameterNameValueString parameterName setParameterNameparameterName
public CreateDirectConnectGatewayAssociationProposalResult createDirectConnectGatewayAssociationProposal(CreateDirectConnectGatewayAssociationProposalRequest request) {request = beforeClientExecution(request);return executeCreateDirectConnectGatewayAssociationProposal(request);},public CreateDirectConnectGatewayAssociationProposalResult createDirectConnectGatewayAssociationProposalCreateDirectConnectGatewayAssociationProposalRequest request request  beforeClientExecutionrequestreturn executeCreateDirectConnectGatewayAssociationProposalrequest
public ListResourceDelegatesResult listResourceDelegates(ListResourceDelegatesRequest request) {request = beforeClientExecution(request);return executeListResourceDelegates(request);},public ListResourceDelegatesResult listResourceDelegatesListResourceDelegatesRequest request request  beforeClientExecutionrequestreturn executeListResourceDelegatesrequest
"public ValueEval evaluate(int srcRowIndex, int srcColumnIndex, ValueEval numberVE, ValueEval placesVE) {ValueEval veText1;try {veText1 = OperandResolver.getSingleValue(numberVE, srcRowIndex, srcColumnIndex);} catch (EvaluationException e) {return e.getErrorEval();}String strText1 = OperandResolver.coerceValueToString(veText1);Double number = OperandResolver.parseDouble(strText1);if (number == null) {return ErrorEval.VALUE_INVALID;}if (number.longValue() < MIN_VALUE || number.longValue() > MAX_VALUE) {return ErrorEval.NUM_ERROR;}int placesNumber;if (number < 0 || placesVE == null) {placesNumber = DEFAULT_PLACES_VALUE;} else {ValueEval placesValueEval;try {placesValueEval = OperandResolver.getSingleValue(placesVE, srcRowIndex, srcColumnIndex);} catch (EvaluationException e) {return e.getErrorEval();}String placesStr = OperandResolver.coerceValueToString(placesValueEval);Double placesNumberDouble = OperandResolver.parseDouble(placesStr);if (placesNumberDouble == null) {return ErrorEval.VALUE_INVALID;}placesNumber = placesNumberDouble.intValue();if (placesNumber < 0 || placesNumber == 0) {return ErrorEval.NUM_ERROR;}}String binary = Integer.toBinaryString(number.intValue());if (binary.length() > DEFAULT_PLACES_VALUE) {binary = binary.substring(binary.length() - DEFAULT_PLACES_VALUE);}if (binary.length() > placesNumber) {return ErrorEval.NUM_ERROR;}return new StringEval(binary);}",public ValueEval evaluateint srcRowIndex int srcColumnIndex ValueEval numberVE ValueEval placesVE ValueEval veText1try veText1  OperandResolvergetSingleValuenumberVE srcRowIndex srcColumnIndex catch EvaluationException e return egetErrorEvalString strText1  OperandResolvercoerceValueToStringveText1Double number  OperandResolverparseDoublestrText1if number  null return ErrorEvalVALUEINVALIDif numberlongValue  MINVALUE  numberlongValue  MAXVALUE return ErrorEvalNUMERRORint placesNumberif number  0  placesVE  null placesNumber  DEFAULTPLACESVALUE else ValueEval placesValueEvaltry placesValueEval  OperandResolvergetSingleValueplacesVE srcRowIndex srcColumnIndex catch EvaluationException e return egetErrorEvalString placesStr  OperandResolvercoerceValueToStringplacesValueEvalDouble placesNumberDouble  OperandResolverparseDoubleplacesStrif placesNumberDouble  null return ErrorEvalVALUEINVALIDplacesNumber  placesNumberDoubleintValueif placesNumber  0  placesNumber  0 return ErrorEvalNUMERRORString binary  IntegertoBinaryStringnumberintValueif binarylength  DEFAULTPLACESVALUE binary  binarysubstringbinarylength  DEFAULTPLACESVALUEif binarylength  placesNumber return ErrorEvalNUMERRORreturn new StringEvalbinary
"public static int checkHeaderNoMagic(DataInput in, String codec, int minVersion, int maxVersion) throws IOException {final String actualCodec = in.readString();if (!actualCodec.equals(codec)) {throw new CorruptIndexException(""codec mismatch: actual codec="" + actualCodec + "" vs expected codec="" + codec, in);}final int actualVersion = in.readInt();if (actualVersion < minVersion) {throw new IndexFormatTooOldException(in, actualVersion, minVersion, maxVersion);}if (actualVersion > maxVersion) {throw new IndexFormatTooNewException(in, actualVersion, minVersion, maxVersion);}return actualVersion;}",public static int checkHeaderNoMagicDataInput in String codec int minVersion int maxVersion throws IOException final String actualCodec  inreadStringif actualCodecequalscodec throw new CorruptIndexExceptioncodec mismatch actual codec  actualCodec   vs expected codec  codec infinal int actualVersion  inreadIntif actualVersion  minVersion throw new IndexFormatTooOldExceptionin actualVersion minVersion maxVersionif actualVersion  maxVersion throw new IndexFormatTooNewExceptionin actualVersion minVersion maxVersionreturn actualVersion
public DescribeDefaultParametersResult describeDefaultParameters(DescribeDefaultParametersRequest request) {request = beforeClientExecution(request);return executeDescribeDefaultParameters(request);},public DescribeDefaultParametersResult describeDefaultParametersDescribeDefaultParametersRequest request request  beforeClientExecutionrequestreturn executeDescribeDefaultParametersrequest
"public SimpleSpanFragmenter(QueryScorer queryScorer, int fragmentSize) {this.fragmentSize = fragmentSize;this.queryScorer = queryScorer;}",public SimpleSpanFragmenterQueryScorer queryScorer int fragmentSize thisfragmentSize  fragmentSizethisqueryScorer  queryScorer
public CreateApplicationResult createApplication(CreateApplicationRequest request) {request = beforeClientExecution(request);return executeCreateApplication(request);},public CreateApplicationResult createApplicationCreateApplicationRequest request request  beforeClientExecutionrequestreturn executeCreateApplicationrequest
public URIish getURI() {return uri;},public URIish getURI return uri
public DeleteConferenceProviderResult deleteConferenceProvider(DeleteConferenceProviderRequest request) {request = beforeClientExecution(request);return executeDeleteConferenceProvider(request);},public DeleteConferenceProviderResult deleteConferenceProviderDeleteConferenceProviderRequest request request  beforeClientExecutionrequestreturn executeDeleteConferenceProviderrequest
public byte setByte(final byte holder){return ( byte ) set(holder);},public byte setBytefinal byte holderreturn  byte  setholder
public PipedInputStream(PipedOutputStream out) throws IOException {connect(out);},public PipedInputStreamPipedOutputStream out throws IOException connectout
public IntBuffer slice() {byteBuffer.limit(limit * SizeOf.INT);byteBuffer.position(position * SizeOf.INT);ByteBuffer bb = byteBuffer.slice().order(byteBuffer.order());IntBuffer result = new IntToByteBufferAdapter(bb);byteBuffer.clear();return result;},public IntBuffer slice byteBufferlimitlimit  SizeOfINTbyteBufferpositionposition  SizeOfINTByteBuffer bb  byteBuffersliceorderbyteBufferorderIntBuffer result  new IntToByteBufferAdapterbbbyteBufferclearreturn result
public CreateDeploymentConfigResult createDeploymentConfig(CreateDeploymentConfigRequest request) {request = beforeClientExecution(request);return executeCreateDeploymentConfig(request);},public CreateDeploymentConfigResult createDeploymentConfigCreateDeploymentConfigRequest request request  beforeClientExecutionrequestreturn executeCreateDeploymentConfigrequest
"public HSSFColor findColor(byte red, byte green, byte blue){byte[] b = _palette.getColor(PaletteRecord.FIRST_COLOR_INDEX);for (short i = PaletteRecord.FIRST_COLOR_INDEX; b != null;b = _palette.getColor(++i)){if (b[0] == red && b[1] == green && b[2] == blue){return new CustomColor(i, b);}}return null;}",public HSSFColor findColorbyte red byte green byte bluebyte b  palettegetColorPaletteRecordFIRSTCOLORINDEXfor short i  PaletteRecordFIRSTCOLORINDEX b  nullb  palettegetColoriif b0  red  b1  green  b2  bluereturn new CustomColori breturn null
public boolean canEncode(char c) {return implCanEncode(CharBuffer.wrap(new char[] { c }));},public boolean canEncodechar c return implCanEncodeCharBufferwrapnew char  c 
"public NetworkInterface(String macAddress) {mac = macAddress;path = ""/network/interfaces/macs/"" + mac + ""/"";}",public NetworkInterfaceString macAddress mac  macAddresspath  networkinterfacesmacs  mac  
public final boolean isAccept(int state) {return accept.get(state);},public final boolean isAcceptint state return acceptgetstate
public String toStringTree() {return toStringTree((List<String>)null);},public String toStringTree return toStringTreeListStringnull
"public TermRangeQuery(String field, BytesRef lowerTerm, BytesRef upperTerm, boolean includeLower, boolean includeUpper) {super(new Term(field, lowerTerm), toAutomaton(lowerTerm, upperTerm, includeLower, includeUpper), Integer.MAX_VALUE, true);this.lowerTerm = lowerTerm;this.upperTerm = upperTerm;this.includeLower = includeLower;this.includeUpper = includeUpper;}",public TermRangeQueryString field BytesRef lowerTerm BytesRef upperTerm boolean includeLower boolean includeUpper supernew Termfield lowerTerm toAutomatonlowerTerm upperTerm includeLower includeUpper IntegerMAXVALUE truethislowerTerm  lowerTermthisupperTerm  upperTermthisincludeLower  includeLowerthisincludeUpper  includeUpper
"public ScanResult scan(String tableName, java.util.List<String> attributesToGet) {return scan(new ScanRequest().withTableName(tableName).withAttributesToGet(attributesToGet));}",public ScanResult scanString tableName javautilListString attributesToGet return scannew ScanRequestwithTableNametableNamewithAttributesToGetattributesToGet
public StopLabelingJobResult stopLabelingJob(StopLabelingJobRequest request) {request = beforeClientExecution(request);return executeStopLabelingJob(request);},public StopLabelingJobResult stopLabelingJobStopLabelingJobRequest request request  beforeClientExecutionrequestreturn executeStopLabelingJobrequest
public PublishSchemaResult publishSchema(PublishSchemaRequest request) {request = beforeClientExecution(request);return executePublishSchema(request);},public PublishSchemaResult publishSchemaPublishSchemaRequest request request  beforeClientExecutionrequestreturn executePublishSchemarequest
"public DeleteAttributesRequest(String domainName, String itemName, java.util.List<Attribute> attributes) {setDomainName(domainName);setItemName(itemName);setAttributes(attributes);}",public DeleteAttributesRequestString domainName String itemName javautilListAttribute attributes setDomainNamedomainNamesetItemNameitemNamesetAttributesattributes
public ObjectId toObjectId() {return this;},public ObjectId toObjectId return this
@Override public ListIterator<E> listIterator() {return listIterator(0);},Override public ListIteratorE listIterator return listIterator0
public ExternalBookBlock() {_externalBookRecord = SupBookRecord.createAddInFunctions();_externalNameRecords = new ExternalNameRecord[0];_crnBlocks = new CRNBlock[0];},public ExternalBookBlock externalBookRecord  SupBookRecordcreateAddInFunctionsexternalNameRecords  new ExternalNameRecord0crnBlocks  new CRNBlock0
public String getFragment() {return decode(fragment);},public String getFragment return decodefragment
"public String toString() {return slice.toString()+"":""+ postingsEnum;}",public String toString return slicetoString postingsEnum
public ByteBuffer putDouble(double value) {throw new ReadOnlyBufferException();},public ByteBuffer putDoubledouble value throw new ReadOnlyBufferException
"public static InternalWorkbook createStubWorkbook(ExternSheetRecord[] externs,BoundSheetRecord[] bounds) {return createStubWorkbook(externs, bounds, null);}",public static InternalWorkbook createStubWorkbookExternSheetRecord externsBoundSheetRecord bounds return createStubWorkbookexterns bounds null
public IndexDocumentsResult indexDocuments(IndexDocumentsRequest request) {request = beforeClientExecution(request);return executeIndexDocuments(request);},public IndexDocumentsResult indexDocumentsIndexDocumentsRequest request request  beforeClientExecutionrequestreturn executeIndexDocumentsrequest
"public String toStringTree(Parser recog) {return Trees.toStringTree(this, recog);}",public String toStringTreeParser recog return TreestoStringTreethis recog
"public FieldsConsumer fieldsConsumer(SegmentWriteState state)throws IOException {if (delegatePostingsFormat == null) {throw new UnsupportedOperationException(""Error - "" + getClass().getName()+ "" has been constructed without a choice of PostingsFormat"");}FieldsConsumer fieldsConsumer = delegatePostingsFormat.fieldsConsumer(state);return new BloomFilteredFieldsConsumer(fieldsConsumer, state);}",public FieldsConsumer fieldsConsumerSegmentWriteState statethrows IOException if delegatePostingsFormat  null throw new UnsupportedOperationExceptionError    getClassgetName  has been constructed without a choice of PostingsFormatFieldsConsumer fieldsConsumer  delegatePostingsFormatfieldsConsumerstatereturn new BloomFilteredFieldsConsumerfieldsConsumer state
"public String toString() {return super.toString() + ""(\"""" + pattern.pattern() + ""\"")"";}",public String toString return supertoString    patternpattern  
"public static String stripTags(String buf, int start) {if (start>0) {buf = buf.substring(start);}return buf.replaceAll(""<[^>]*>"", "" "");}",public static String stripTagsString buf int start if start0 buf  bufsubstringstartreturn bufreplaceAll  
"public Reader create(Reader input) {return new JapaneseIterationMarkCharFilter(input, normalizeKanji, normalizeKana);}",public Reader createReader input return new JapaneseIterationMarkCharFilterinput normalizeKanji normalizeKana
public int getKeyProgressIncrement() {return mKeyProgressIncrement;},public int getKeyProgressIncrement return mKeyProgressIncrement
public void ReInit(StandardSyntaxParserTokenManager tm) {token_source = tm;token = new Token();jj_ntk = -1;jj_gen = 0;for (int i = 0; i < 25; i++) jj_la1[i] = -1;for (int i = 0; i < jj_2_rtns.length; i++) jj_2_rtns[i] = new JJCalls();},public void ReInitStandardSyntaxParserTokenManager tm tokensource  tmtoken  new Tokenjjntk  1jjgen  0for int i  0 i  25 i jjla1i  1for int i  0 i  jj2rtnslength i jj2rtnsi  new JJCalls
"public long copyUsingLengthPrefix(BytesRef bytes) {if (bytes.length >= 32768) {throw new IllegalArgumentException(""max length is 32767 (got "" + bytes.length + "")"");}if (upto + bytes.length + 2 > blockSize) {if (bytes.length + 2 > blockSize) {throw new IllegalArgumentException(""block size "" + blockSize + "" is too small to store length "" + bytes.length + "" bytes"");}if (currentBlock != null) {addBlock(currentBlock);}currentBlock = new byte[blockSize];upto = 0;}final long pointer = getPointer();if (bytes.length < 128) {currentBlock[upto++] = (byte) bytes.length;} else {currentBlock[upto++] = (byte) (0x80 | (bytes.length >> 8));currentBlock[upto++] = (byte) (bytes.length & 0xff);}System.arraycopy(bytes.bytes, bytes.offset, currentBlock, upto, bytes.length);upto += bytes.length;return pointer;}",public long copyUsingLengthPrefixBytesRef bytes if byteslength  32768 throw new IllegalArgumentExceptionmax length is 32767 got   byteslength  if upto  byteslength  2  blockSize if byteslength  2  blockSize throw new IllegalArgumentExceptionblock size   blockSize   is too small to store length   byteslength   bytesif currentBlock  null addBlockcurrentBlockcurrentBlock  new byteblockSizeupto  0final long pointer  getPointerif byteslength  128 currentBlockupto  byte byteslength else currentBlockupto  byte 0x80  byteslength  8currentBlockupto  byte byteslength  0xffSystemarraycopybytesbytes bytesoffset currentBlock upto byteslengthupto  byteslengthreturn pointer
"public HighFreqTerm(int[] docIDs, int[] freqs, int[][] positions, byte[][][] payloads, long totalTermFreq) {this.docIDs = docIDs;this.freqs = freqs;this.positions = positions;this.payloads = payloads;this.totalTermFreq = totalTermFreq;}",public HighFreqTermint docIDs int freqs int positions byte payloads long totalTermFreq thisdocIDs  docIDsthisfreqs  freqsthispositions  positionsthispayloads  payloadsthistotalTermFreq  totalTermFreq
public TermQuery newTermQuery(Term term) throws TooManyBasicQueries {checkMax();return new TermQuery(term);},public TermQuery newTermQueryTerm term throws TooManyBasicQueries checkMaxreturn new TermQueryterm
"public HindiStemFilterFactory(Map<String,String> args) {super(args);if (!args.isEmpty()) {throw new IllegalArgumentException(""Unknown parameters: "" + args);}}",public HindiStemFilterFactoryMapStringString args superargsif argsisEmpty throw new IllegalArgumentExceptionUnknown parameters   args
public DecisionInfo[] getDecisionInfo() {return atnSimulator.getDecisionInfo();},public DecisionInfo getDecisionInfo return atnSimulatorgetDecisionInfo
"public String toString() {return ""<regexp field='"" + this.field + ""' term='"" + this.text + ""'/>"";}",public String toString return regexp field  thisfield   term  thistext  
public CreateStackSetResult createStackSet(CreateStackSetRequest request) {request = beforeClientExecution(request);return executeCreateStackSet(request);},public CreateStackSetResult createStackSetCreateStackSetRequest request request  beforeClientExecutionrequestreturn executeCreateStackSetrequest
public SendMessagesResult sendMessages(SendMessagesRequest request) {request = beforeClientExecution(request);return executeSendMessages(request);},public SendMessagesResult sendMessagesSendMessagesRequest request request  beforeClientExecutionrequestreturn executeSendMessagesrequest
"public synchronized void setCharAt(int index, char ch) {super.setCharAt(index, ch);}",public synchronized void setCharAtint index char ch supersetCharAtindex ch
public CreateIntegrationResult createIntegration(CreateIntegrationRequest request) {request = beforeClientExecution(request);return executeCreateIntegration(request);},public CreateIntegrationResult createIntegrationCreateIntegrationRequest request request  beforeClientExecutionrequestreturn executeCreateIntegrationrequest
public void execute(Lexer lexer) {lexer.mode(mode);},public void executeLexer lexer lexermodemode
public void readFully(byte[] dst) throws IOException {primitiveTypes.readFully(dst);},public void readFullybyte dst throws IOException primitiveTypesreadFullydst
"public final void decRef() throws IOException {ensureOpen();final int rc = refCount.decrementAndGet();if (rc == 0) {boolean success = false;try {doClose();closed = true;success = true;} finally {if (!success) {refCount.incrementAndGet();}}} else if (rc < 0) {throw new IllegalStateException(""too many decRef calls: refCount is "" + rc + "" after decrement"");}}",public final void decRef throws IOException ensureOpenfinal int rc  refCountdecrementAndGetif rc  0 boolean success  falsetry doCloseclosed  truesuccess  true finally if success refCountincrementAndGet else if rc  0 throw new IllegalStateExceptiontoo many decRef calls refCount is   rc   after decrement
"public String toString() {if ( dfa.s0==null ) return null;StringBuilder buf = new StringBuilder();List<DFAState> states = dfa.getStates();for (DFAState s : states) {int n = 0;if ( s.edges!=null ) n = s.edges.length;for (int i=0; i<n; i++) {DFAState t = s.edges[i];if ( t!=null && t.stateNumber != Integer.MAX_VALUE ) {buf.append(getStateString(s));String label = getEdgeLabel(i);buf.append(""-"").append(label).append(""->"").append(getStateString(t)).append('\n');}}}String output = buf.toString();if ( output.length()==0 ) return null;return output;}",public String toString if  dfas0null  return nullStringBuilder buf  new StringBuilderListDFAState states  dfagetStatesfor DFAState s  states int n  0if  sedgesnull  n  sedgeslengthfor int i0 in i DFAState t  sedgesiif  tnull  tstateNumber  IntegerMAXVALUE  bufappendgetStateStringsString label  getEdgeLabelibufappendappendlabelappendappendgetStateStringtappendnString output  buftoStringif  outputlength0  return nullreturn output
"public static void register(Repository db) {if (db.getDirectory() != null) {FileKey key = FileKey.exact(db.getDirectory(), db.getFS());cache.registerRepository(key, db);}}",public static void registerRepository db if dbgetDirectory  null FileKey key  FileKeyexactdbgetDirectory dbgetFScacheregisterRepositorykey db
public GetConfigurationSetEventDestinationsResult getConfigurationSetEventDestinations(GetConfigurationSetEventDestinationsRequest request) {request = beforeClientExecution(request);return executeGetConfigurationSetEventDestinations(request);},public GetConfigurationSetEventDestinationsResult getConfigurationSetEventDestinationsGetConfigurationSetEventDestinationsRequest request request  beforeClientExecutionrequestreturn executeGetConfigurationSetEventDestinationsrequest
public ByteBuffer put(byte value) {throw new ReadOnlyBufferException();},public ByteBuffer putbyte value throw new ReadOnlyBufferException
"public ValueEval evaluate(int srcRowIndex, int srcColumnIndex, ValueEval arg0, ValueEval arg1,ValueEval arg2) {AreaEval aeRange;AreaEval aeSum;try {aeRange = convertRangeArg(arg0);aeSum = createSumRange(arg2, aeRange);} catch (EvaluationException e) {return e.getErrorEval();}return eval(srcRowIndex, srcColumnIndex, arg1, aeRange, aeSum);}",public ValueEval evaluateint srcRowIndex int srcColumnIndex ValueEval arg0 ValueEval arg1ValueEval arg2 AreaEval aeRangeAreaEval aeSumtry aeRange  convertRangeArgarg0aeSum  createSumRangearg2 aeRange catch EvaluationException e return egetErrorEvalreturn evalsrcRowIndex srcColumnIndex arg1 aeRange aeSum
"public MoPenAddGroupMemberRequest() {super(""MoPen"", ""2018-02-11"", ""MoPenAddGroupMember"", ""mopen"");setProtocol(ProtocolType.HTTPS);setMethod(MethodType.POST);}",public MoPenAddGroupMemberRequest superMoPen 20180211 MoPenAddGroupMember mopensetProtocolProtocolTypeHTTPSsetMethodMethodTypePOST
public DeleteAssessmentTargetResult deleteAssessmentTarget(DeleteAssessmentTargetRequest request) {request = beforeClientExecution(request);return executeDeleteAssessmentTarget(request);},public DeleteAssessmentTargetResult deleteAssessmentTargetDeleteAssessmentTargetRequest request request  beforeClientExecutionrequestreturn executeDeleteAssessmentTargetrequest
"public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""[SXDI]\n"");buffer.append(""  .isxvdData = "").append(HexDump.shortToHex(isxvdData)).append(""\n"");buffer.append(""  .iiftab = "").append(HexDump.shortToHex(iiftab)).append(""\n"");buffer.append(""  .df = "").append(HexDump.shortToHex(df)).append(""\n"");buffer.append(""  .isxvd = "").append(HexDump.shortToHex(isxvd)).append(""\n"");buffer.append(""  .isxvi = "").append(HexDump.shortToHex(isxvi)).append(""\n"");buffer.append(""  .ifmt = "").append(HexDump.shortToHex(ifmt)).append(""\n"");buffer.append(""[/SXDI]\n"");return buffer.toString();}",public String toString StringBuilder buffer  new StringBuilderbufferappendSXDInbufferappend  isxvdData  appendHexDumpshortToHexisxvdDataappendnbufferappend  iiftab  appendHexDumpshortToHexiiftabappendnbufferappend  df  appendHexDumpshortToHexdfappendnbufferappend  isxvd  appendHexDumpshortToHexisxvdappendnbufferappend  isxvi  appendHexDumpshortToHexisxviappendnbufferappend  ifmt  appendHexDumpshortToHexifmtappendnbufferappendSXDInreturn buffertoString
"public String toString() {return ""LL"";}",public String toString return LL
public DescribeReservedInstancesOfferingsResult describeReservedInstancesOfferings(DescribeReservedInstancesOfferingsRequest request) {request = beforeClientExecution(request);return executeDescribeReservedInstancesOfferings(request);},public DescribeReservedInstancesOfferingsResult describeReservedInstancesOfferingsDescribeReservedInstancesOfferingsRequest request request  beforeClientExecutionrequestreturn executeDescribeReservedInstancesOfferingsrequest
public void setNextEnum(TermsEnum termsEnum) {this.termsEnum = termsEnum;this.boostAtt = termsEnum.attributes().addAttribute(BoostAttribute.class);},public void setNextEnumTermsEnum termsEnum thistermsEnum  termsEnumthisboostAtt  termsEnumattributesaddAttributeBoostAttributeclass
public RevFilter clone() {return new PatternSearch(pattern());},public RevFilter clone return new PatternSearchpattern
public GetRouteResponseResult getRouteResponse(GetRouteResponseRequest request) {request = beforeClientExecution(request);return executeGetRouteResponse(request);},public GetRouteResponseResult getRouteResponseGetRouteResponseRequest request request  beforeClientExecutionrequestreturn executeGetRouteResponserequest
public UpdateLagResult updateLag(UpdateLagRequest request) {request = beforeClientExecution(request);return executeUpdateLag(request);},public UpdateLagResult updateLagUpdateLagRequest request request  beforeClientExecutionrequestreturn executeUpdateLagrequest
public DescribeEndpointResult describeEndpoint(DescribeEndpointRequest request) {request = beforeClientExecution(request);return executeDescribeEndpoint(request);},public DescribeEndpointResult describeEndpointDescribeEndpointRequest request request  beforeClientExecutionrequestreturn executeDescribeEndpointrequest
public void addPositionSpans(List<PositionSpan> positionSpans) {this.positionSpans.addAll(positionSpans);},public void addPositionSpansListPositionSpan positionSpans thispositionSpansaddAllpositionSpans
public boolean remove(Object object) {return backingMap.remove(object) != null;},public boolean removeObject object return backingMapremoveobject  null
public ListPartsResult listParts(ListPartsRequest request) {request = beforeClientExecution(request);return executeListParts(request);},public ListPartsResult listPartsListPartsRequest request request  beforeClientExecutionrequestreturn executeListPartsrequest
public void setForceUpdate(boolean b) {force = b;},public void setForceUpdateboolean b force  b
public void removeCustomProperties() {if (getSectionCount() < 2) {}},public void removeCustomProperties if getSectionCount  2 
public int available() {return remaining();},public int available return remaining
public GetInstanceResult getInstance(GetInstanceRequest request) {request = beforeClientExecution(request);return executeGetInstance(request);},public GetInstanceResult getInstanceGetInstanceRequest request request  beforeClientExecutionrequestreturn executeGetInstancerequest
public UpdateSmsChannelResult updateSmsChannel(UpdateSmsChannelRequest request) {request = beforeClientExecution(request);return executeUpdateSmsChannel(request);},public UpdateSmsChannelResult updateSmsChannelUpdateSmsChannelRequest request request  beforeClientExecutionrequestreturn executeUpdateSmsChannelrequest
public CreateEgressOnlyInternetGatewayResult createEgressOnlyInternetGateway(CreateEgressOnlyInternetGatewayRequest request) {request = beforeClientExecution(request);return executeCreateEgressOnlyInternetGateway(request);},public CreateEgressOnlyInternetGatewayResult createEgressOnlyInternetGatewayCreateEgressOnlyInternetGatewayRequest request request  beforeClientExecutionrequestreturn executeCreateEgressOnlyInternetGatewayrequest
public GetResourcesResult getResources(GetResourcesRequest request) {request = beforeClientExecution(request);return executeGetResources(request);},public GetResourcesResult getResourcesGetResourcesRequest request request  beforeClientExecutionrequestreturn executeGetResourcesrequest
public ByteBlockPool(Allocator allocator) {this.allocator = allocator;},public ByteBlockPoolAllocator allocator thisallocator  allocator
public ListStepsResult listSteps(ListStepsRequest request) {request = beforeClientExecution(request);return executeListSteps(request);},public ListStepsResult listStepsListStepsRequest request request  beforeClientExecutionrequestreturn executeListStepsrequest
public boolean readBoolean() throws IOException {return primitiveTypes.readBoolean();},public boolean readBoolean throws IOException return primitiveTypesreadBoolean
"public PutLogEventsRequest(String logGroupName, String logStreamName, java.util.List<InputLogEvent> logEvents) {setLogGroupName(logGroupName);setLogStreamName(logStreamName);setLogEvents(logEvents);}",public PutLogEventsRequestString logGroupName String logStreamName javautilListInputLogEvent logEvents setLogGroupNamelogGroupNamesetLogStreamNamelogStreamNamesetLogEventslogEvents
public void reset(int sliceOffset) {this.offset = sliceOffset;},public void resetint sliceOffset thisoffset  sliceOffset
public GetAttendeeResult getAttendee(GetAttendeeRequest request) {request = beforeClientExecution(request);return executeGetAttendee(request);},public GetAttendeeResult getAttendeeGetAttendeeRequest request request  beforeClientExecutionrequestreturn executeGetAttendeerequest
public long getFilePointer() {return pointer + pos;},public long getFilePointer return pointer  pos
"public int serializeSimplePart(byte[] data, int pos) {LittleEndian.putShort(data, pos, getId());int recordSize = getComplexData().length;if (!sizeIncludesHeaderSize) {recordSize -= 6;}LittleEndian.putInt(data, pos + 2, recordSize);return 6;}",public int serializeSimplePartbyte data int pos LittleEndianputShortdata pos getIdint recordSize  getComplexDatalengthif sizeIncludesHeaderSize recordSize  6LittleEndianputIntdata pos  2 recordSizereturn 6
"public CherryPickCommand include(AnyObjectId commit) {return include(commit.getName(), commit);}",public CherryPickCommand includeAnyObjectId commit return includecommitgetName commit
"public int readDataSize() {readPlain(buffer, 0, LittleEndianConsts.SHORT_SIZE);int dataSize = LittleEndian.getUShort(buffer, 0);ccis.setNextRecordSize(dataSize);return dataSize;}",public int readDataSize readPlainbuffer 0 LittleEndianConstsSHORTSIZEint dataSize  LittleEndiangetUShortbuffer 0ccissetNextRecordSizedataSizereturn dataSize
"public RemoveUserFromGroupRequest(String groupName, String userName) {setGroupName(groupName);setUserName(userName);}",public RemoveUserFromGroupRequestString groupName String userName setGroupNamegroupNamesetUserNameuserName
public PutImageResult putImage(PutImageRequest request) {request = beforeClientExecution(request);return executePutImage(request);},public PutImageResult putImagePutImageRequest request request  beforeClientExecutionrequestreturn executePutImagerequest
public boolean stem() {limit_backward = cursor;cursor = limit;int v_1 = limit - cursor;r_endings();cursor = limit - v_1;int v_2 = limit - cursor;r_undouble();cursor = limit - v_2;int v_3 = limit - cursor;r_respell();cursor = limit - v_3;cursor = limit_backward;return true;},public boolean stem limitbackward  cursorcursor  limitint v1  limit  cursorrendingscursor  limit  v1int v2  limit  cursorrundoublecursor  limit  v2int v3  limit  cursorrrespellcursor  limit  v3cursor  limitbackwardreturn true
