python,cpp
"class Solution:
    def minEatingSpeed(self, piles: List[int], hour: int) -> int:
        l=1
        h=max(piles)
        def fun(speed):
            ans=0
            for i in piles:
                ans+=ceil(i/speed)
            #print(ans)
            if ans>hour:
                return False
            return True
        ans=h
        while(l<=h):
            
            mid=(l+h)//2
           
            if fun(mid):
                ans=min(ans,mid)
                h=mid-1
            else:
                l=mid+1
        return ans","class Solution {
 public:
  vector<int> preorder(Node* root) {
    if (root == nullptr)
      return {};

    vector<int> ans;
    stack<Node*> stack{{root}};

    while (!stack.empty()) {
      root = stack.top(), stack.pop();
      ans.push_back(root->val);
      for (auto it = rbegin(root->children); it != rend(root->children); ++it)
        stack.push(*it);
    }

    return ans;
  }
};"
"class Solution:
    def middleNode(self, head: Optional[ListNode]) -> Optional[ListNode]:
        pos=0
        curr=head
        while(curr!=None):
            pos+=1
            curr=curr.next
        curr=head
        for i in range(pos//2):
            curr=curr.next
        return curr","class Solution {
 public:
  vector<int> postorder(Node* root) {
    if (root == nullptr)
      return {};

    vector<int> ans;
    stack<Node*> stack{{root}};

    while (!stack.empty()) {
      root = stack.top(), stack.pop();
      ans.push_back(root->val);
      for (Node* child : root->children)
        stack.push(child);
    }

    reverse(begin(ans), end(ans));
    return ans;
  }
};"
"class Solution:
    def stoneGame(self, piles: List[int]) -> bool:
        @functools.cache
        def doIWin(l,r):
            if l > r: return 0
            
            left = piles[l] - doIWin(l+1,r) # `-` because my opponent!
            
            right= piles[r] - doIWin(l,r-1)
            
            return max(left, right)
        
        return (doIWin(0,len(piles)-1) + sum(piles) )//2","class Solution {
 public:
  bool isValid(string code) {
    if (code[0] != '<' || code.back() != '>')
      return false;

    stack<string> stack;

    for (int i = 0; i < code.length(); ++i) {
      int closeIndex = 0;
      if (stack.empty() && containsTag)
        return false;
      if (code[i] == '<') {
        // Inside a tag, so we can check if it's a cdata
        if (!stack.empty() && code[i + 1] == '!') {
          closeIndex = code.find(""]]>"", i + 2);
          if (closeIndex == string::npos ||
              !isValidCdata(code.substr(i + 2, closeIndex - i - 2)))
            return false;
        } else if (code[i + 1] == '/') {  // End tag
          closeIndex = code.find('>', i + 2);
          if (closeIndex == string::npos ||
              !isValidTagName(stack, code.substr(i + 2, closeIndex - i - 2),
                              true))
            return false;
        } else {  // Start tag
          closeIndex = code.find('>', i + 1);
          if (closeIndex == string::npos ||
              !isValidTagName(stack, code.substr(i + 1, closeIndex - i - 1),
                              false))
            return false;
        }
        i = closeIndex;
      }
    }

    return stack.empty() && containsTag;
  }

 private:
  bool containsTag = false;

  bool isValidCdata(const string& s) {
    return s.find(""[CDATA["") == 0;
  }

  bool isValidTagName(stack<string>& stack, const string& tagName,
                      bool isEndTag) {
    if (tagName.empty() || tagName.length() > 9)
      return false;

    for (const char c : tagName)
      if (!isupper(c))
        return false;

    if (isEndTag) {
      if (stack.empty())
        return false;
      if (stack.top() != tagName)
        return false;
      stack.pop();
      return true;
    }

    containsTag = true;
    stack.push(tagName);
    return true;
  }
};"
"class Solution:
    def nthMagicalNumber(self, n: int, a: int, b: int) -> int:
        def gcd(x,y):
            if(x==0):
                return y
            return gcd(y%x,x)
        lcm=(a*b)//gcd(a,b)
        s=set()
        x=a
        while(x<=lcm):
            s.add(x)
            x+=a
        x=b
        while(x<=lcm):
            s.add(x)
            x+=b
        
        le=0
        l=[]
   
        for i in s:
            l.append(i)
            le+=1
        l.sort()    #sort all multiples of a and b which are less than their lcm.
        
        #below approach is based on pattern observation. Try to take some example and observer the pattern(e.g n=4,8,9,16,18,41 #a=3, b=7)
        r=n%le
        q=n//(le+1)
      
        if(q==0):
            return l[n-1]
        else:
            q=n//le
            res=  ((q*l[-1])%1000000007)
            if(r>0):
                  res=(res+ l[r-1]) %1000000007
            return res","class Solution {
 public:
  string fractionAddition(string expression) {
    istringstream iss(expression);
    char _;
    int a;
    int b;
    int A = 0;
    int B = 1;

    // Init: A / B = 0 / 1
    // A / B + a / b = (Ab + aB) / Bb
    // So, each round set A = Ab + aB, B = Bb
    while (iss >> a >> _ >> b) {
      A = A * b + a * B;
      B *= b;
      const int g = abs(__gcd(A, B));
      A /= g;
      B /= g;
    }

    return to_string(A) + ""/"" + to_string(B);
  }
};"
"class Solution:
    def profitableSchemes(self, n: int, minProfit: int, group: List[int], profit: List[int]) -> int:
        MOD = 1_000_000_007
        
        @cache
        def fn(i, n, p): 
            """"""Return count at i with n people remaining and p profit to make.""""""
            if n < 0: return 0
            if i == len(group): return p <= 0 
            return (fn(i+1, n, p) + fn(i+1, n-group[i], p-profit[i])) % MOD

        return fn(0, n, minProfit)","class Solution {
 public:
  bool validSquare(vector<int>& p1, vector<int>& p2,  //
                   vector<int>& p3, vector<int>& p4) {
    unordered_set<int> distSet;
    vector<vector<int>> points{p1, p2, p3, p4};

    for (int i = 0; i < 4; ++i)
      for (int j = i + 1; j < 4; ++j)
        distSet.insert(dist(points[i], points[j]));

    return !distSet.count(0) && distSet.size() == 2;
  }

 private:
  int dist(vector<int>& p1, vector<int>& p2) {
    return (p1[0] - p2[0]) * (p1[0] - p2[0]) +
           (p1[1] - p2[1]) * (p1[1] - p2[1]);
  }
};"
"class Solution:
    def decodeAtIndex(self, S: str, K: int) -> str:
		# e.g. S == 'ab2c3d'
		# ls_len: list of lengths of new patterns [2, 5] (ab, ababc)
		# ls_total_len: list of lengths of times * new pattern [4, 15] (abab, ababcababcababc)
		# ls_pattern: list of new additional pattern ['ab', 'c']
        ls_len = []
        ls_total_len = []
        ls_pattern = []
        tmp = ''
        length = 0
        # flag for string without integer
		prev_num = -1
		
        for i in range(len(S)): 
            value = S[i]
            if i == 0: 
				# first char is letter only
                tmp = value
                length = 1
                continue
            if 50 <= ord(value) <= 57: 
                if tmp: 
					# if not more than one integer appearing together
                    ls_pattern.append(tmp)
                    ls_len.append(length)
                    ls_total_len.append(length * int(value))
                else: 
					# e.g. S = 'a23', here ls_total_len will change from [2] (aa) to [6] (aaaaaa). 
					# The other two lists unchanged.
                    ls_total_len[-1] = length * int(value)
                length = length * int(value)
                tmp = ''
                prev_num = i
            else: 
                tmp += value
                length += 1       
        
		# residual is the last part left with no multiplier, e.g. S = 'ab2c3d', then the last 'd' is the residual
        residual = tmp
		if prev_num < 0: 
			# if no integer is in S, return the (K - 1)th element. 
            return S[K - 1]
       
        if K > ls_total_len[-1]: 
			# if K is within the first pattern
            return residual[K - ls_total_len[-1] - 1]
        if K <= ls_total_len[0]: 
			# if K is in the residual
            ptn = ls_pattern[0]
            len_ptn = ls_len[0]
            return ptn[(K - 1) % len_ptn]
        
        def bs(k, lb, ub, ls): 
			# binary search of K's location in the two lists: ls_len &amp; ls_total_len
            if k <= ls[lb]: 
                return lb - 1
            if k > ls[ub]: 
                return ub
            if ub == lb + 1: 
                return lb
            mid = (lb + ub) // 2
            if k == ls[mid]: 
                return mid - 1
            elif k < ls[mid]:
                return bs(k, lb, mid, ls)
            else: 
                return bs(k, mid + 1, ub, ls)
         
		# due to the nature of the two lists, idx1 >= idx2
        idx1 = bs(K, 0, len(ls_pattern) - 1, ls_len)
        idx2 = bs(K, 0, len(ls_pattern) - 1, ls_total_len)

        while idx1 != idx2 and idx2 != -1: 
			# if idx1 ==  idx2, (K - 1)th element is in the new additional pattern
			# if idx2 == -1, (K - 1)th element is in the first pattern
            K %= ls_len[idx1]
            if not K: 
                K = ls_len[idx1]
            idx1 = bs(K, 0, idx1, ls_len)
            idx2 = bs(K, 0, idx2, ls_total_len)
        if idx2 == -1: 
            return ls_pattern[0][K % ls_len[0] - 1]
        if idx1 == idx2: 
            return ls_pattern[idx1 + 1][K - ls_total_len[idx1] - 1]","class Solution {
 public:
  int findLHS(vector<int>& nums) {
    int ans = 0;
    unordered_map<int, int> count;

    for (const int num : nums)
      ++count[num];

    for (const auto& [num, freq] : count)
      if (const auto it = count.find(num + 1); it != cend(count))
        ans = max(ans, freq + it->second);

    return ans;
  }
};"
"class Solution:
    def numRescueBoats(self, people: List[int], limit: int) -> int:
        people.sort() # ascending 
        
        ans, lo, hi = 0, 0, len(people)-1
        while lo <= hi: 
            ans += 1
            if lo < hi and people[lo] + people[hi] <= limit: lo += 1
            hi -= 1
        return ans","class Solution {
 public:
  int maxCount(int m, int n, vector<vector<int>>& ops) {
    int minY = m;
    int minX = n;

    for (const vector<int>& op : ops) {
      minY = min(minY, op[0]);
      minX = min(minX, op[1]);
    }

    return minX * minY;
  }
};"
"class Solution:
    def reachableNodes(self, edges: List[List[int]], maxMoves: int, n: int) -> int:
        graph = defaultdict(dict)
        dp = defaultdict(dict)
        
        for v1, v2, wt in edges:
            graph[v1][v2] = wt + 1
            graph[v2][v1] = wt + 1
            dp[v1][v2] = 0
            dp[v2][v1] = 0
        
        #print(graph)
        
        def dijkstra(graph, dp):
            
            myheap = [(0, 0)]
            distances = [float(inf)] * n
            distances[0] = 0
            
            while myheap:
                cost, node = heappop(myheap)
                if cost > maxMoves or cost > distances[node]:
                    continue
                    
                for nxtNode, nxtCost in graph[node].items():
                    totalCost = nxtCost + cost
                    remainingMoves = maxMoves - cost
					# nxtCost is the distance bw node and nxtNode so there are nxtCost - 1 new nodes in bw them
					# If remainingMoves are greater than number of new nodes bw them -> it mean we can reach all nodes between the current pair of nodes
                    dp[node][nxtNode] = max(dp[node][nxtNode], min(remainingMoves, nxtCost - 1))
                    
                    if totalCost > distances[nxtNode] or totalCost > maxMoves:
                        continue
                    
                    distances[nxtNode] = totalCost
                    heappush(myheap, (totalCost, nxtNode))
                    #print(nxtNode, distances)
            
            return dp, distances
        
        dp, dist = dijkstra(graph, dp)
        #print(dist)
        #print(dp)
        ans = 0
        for key in dp:
            for node, num in dp[key].items():
                total = dp[node][key] + num
                ans += min(total, graph[key][node] - 1)
		# each pair is counted twice so we need to divide by 2
        ans = ans // 2
        
		# count how many old nodes are reachable
        for elem in dist:
            if elem != float(inf):
                ans += 1
        
        return ans","class Solution {
 public:
  vector<string> findRestaurant(vector<string>& list1, vector<string>& list2) {
    vector<string> ans;
    unordered_map<string, int> restaurantToIndex;
    int minSum = INT_MAX;

    for (int i = 0; i < list1.size(); ++i)
      restaurantToIndex[list1[i]] = i;

    for (int i = 0; i < list2.size(); ++i) {
      const string& restaurant = list2[i];
      if (const auto it = restaurantToIndex.find(restaurant);
          it != cend(restaurantToIndex)) {
        const int sum = it->second + i;
        if (sum < minSum) {
          minSum = sum;
          ans = {restaurant};
        } else if (sum == minSum) {
          ans.push_back(restaurant);
        }
      }
    }

    return ans;
  }
};"
"class Solution:
    def uncommonFromSentences(self, A: str, B: str) -> List[str]:
    	S = [collections.Counter(A.split()),collections.Counter(B.split())]
    	return [j for i in range(2) for j in S[i] if S[i][j] == 1 and j not in S[1-i]]
		
		
- Junaid Mansuri
(LeetCode ID)@hotmail.com","class Solution {
 public:
  int findIntegers(int num) {
    string bits;
    for (; num; num >>= 1)
      bits += to_string(num & 1);

    const int n = bits.length();
    vector<int> zero(n, 1);
    vector<int> one(n, 1);

    for (int i = 1; i < n; ++i) {
      zero[i] = zero[i - 1] + one[i - 1];
      one[i] = zero[i - 1];
    }

    int ans = zero[n - 1] + one[n - 1];

    for (int i = n - 2; i >= 0; --i) {
      // Numbers greater than num and <= 2^n - 1 are invalid
      if (bits[i] == '1' && bits[i + 1] == '1')
        break;
      if (bits[i] == '0' && bits[i + 1] == '0')
        ans -= one[i];
    }

    return ans;
  }
};"
"class Solution:
    def spiralMatrixIII(self, M: int, N: int, x: int, y: int) -> List[List[int]]:
        A, d = [[x,y]], 0
        while len(A) < M*N:
            for s in 1,-1:
                d += 1
                for y in range(y+s,y+s*(d+1),s):
                    if 0<=x<M and 0<=y<N: A.append([x,y])
                for x in range(x+s,x+s*(d+1),s):
                    if 0<=x<M and 0<=y<N: A.append([x,y])
        return A
        
		
- Junaid Mansuri
- Chicago, IL","class Solution {
 public:
  bool canPlaceFlowers(vector<int>& flowerbed, int n) {
    if (n == 0)
      return true;

    for (int i = 0; i < flowerbed.size(); ++i)
      if (flowerbed[i] == 0 && (i == 0 || flowerbed[i - 1] == 0) &&
          (i == flowerbed.size() - 1 || flowerbed[i + 1] == 0)) {
        flowerbed[i] = 1;
        if (--n == 0)
          return true;
      }

    return false;
  }
};"
"class Solution:
    def possibleBipartition(self, N: int, dislikes: List[List[int]]) -> bool:
        
        d = deque([])
        colors = {}
        
        graph = {i: [] for i in range(1, N+1)}
        
        for a, b in dislikes:
            graph[a].append(b)
            graph[b].append(a)
            
        for i in graph.keys():
            
            if i not in colors:
                colors[i] = 1
                d.append(i)
                
                while d:
                    
                    item = d.popleft()
                    for ch in graph[item]:
                        
                        if ch in colors:
                            if colors[ch] == colors[item]:
                                return False
                        else:
                            colors[ch] = 1 - colors[item]
                            d.append(ch)
        return True","class Solution {
 public:
  string tree2str(TreeNode* t) {
    return dfs(t);
  }

 private:
  string dfs(TreeNode* root) {
    if (root == nullptr)
      return """";

    const string& rootStr = to_string(root->val);
    if (root->right)
      return rootStr + ""("" + dfs(root->left) + "")("" + dfs(root->right) + "")"";
    if (root->left)
      return rootStr + ""("" + dfs(root->left) + "")"";
    return rootStr + """";
  }
};"
"class Solution:
    def superEggDrop(self, k: int, n: int) -> int:
        return self.solve(k,n)
    
    def solve(self,e,f):
        if f == 0 or f == 1:
            return f
        if e == 1:
            return f
        
        ans = float('inf')
        
        for k in range(1,f):
            temp = 1 + max(self.solve(e-1,k-1), self.solve(e,f-k))
            ans = min(ans,temp)
            
        return ans","class Solution {
 public:
  vector<vector<string>> findDuplicate(vector<string>& paths) {
    vector<vector<string>> ans;
    unordered_map<string, vector<string>> contentToFilePaths;

    for (const string& path : paths) {
      istringstream iss(path);
      string rootPath;
      iss >> rootPath;  // ""root/d1/d2/.../dm""

      string fileAndContent;
      while (iss >> fileAndContent) {  // ""fn.txt(fn_content)""
        const int l = fileAndContent.find('(');
        const int r = fileAndContent.find(')');
        // ""fn.txt""
        const string file = fileAndContent.substr(0, l);
        // ""fn_content""
        const string content = fileAndContent.substr(l + 1, r - l - 1);
        // ""root/d1/d2/.../dm/fn.txt""
        const string filePath = rootPath + '/' + file;
        contentToFilePaths[content].push_back(filePath);
      }
    }

    for (const auto& [_, filePaths] : contentToFilePaths)
      if (filePaths.size() > 1)
        ans.push_back(filePaths);

    return ans;
  }
};"
"class Solution:
    def fairCandySwap(self, A, B):
        Sa = sum(A)
        Sb = sum(B)
        setB = set(B)
        for x in A:
            if x + (Sb - Sa) / 2 in setB:
                return [x, x + (Sb - Sa) / 2]","class Solution {
 public:
  int triangleNumber(vector<int>& nums) {
    if (nums.size() < 3)
      return 0;

    int ans = 0;

    sort(begin(nums), end(nums));

    for (int k = nums.size() - 1; k > 1; --k) {
      int i = 0;
      int j = k - 1;
      while (i < j)
        if (nums[i] + nums[j] > nums[k]) {
          // (nums[i], nums[j], nums[k])
          // (nums[i + 1], nums[j], nums[k])
          // ...
          // (nums[j - 1], nums[j], nums[k])
          ans += j - i;
          --j;
        } else {
          ++i;
        }
    }

    return ans;
  }
};"
"class Solution:
    def constructFromPrePost(self, preorder: List[int], postorder: List[int]) -> TreeNode:
        pre_index, post_index  = 0, 0
        def dfs(prev_val):
            nonlocal pre_index
            nonlocal post_index

            if prev_val == postorder[post_index]:
                return None
            
            node = TreeNode(preorder[pre_index])
            pre_index += 1

            node.left = dfs(node.val)
            node.right = dfs(node.val)

            post_index += 1

            return node
        return dfs(-1)","class Solution {
 public:
  string addBoldTag(string s, vector<string>& words) {
    const int n = s.length();
    string ans;
    // bold[i] := true if s[i] should be bolded
    vector<bool> bold(n);

    int boldEnd = -1;  // s[i:boldEnd] should be bolded
    for (int i = 0; i < n; ++i) {
      for (const string& word : words)
        if (s.substr(i).find(word) == 0)  // StartsWith
          boldEnd = max(boldEnd, i + static_cast<int>(word.length()));
      bold[i] = boldEnd > i;
    }

    // Construct the string with bold tags
    int i = 0;
    while (i < n)
      if (bold[i]) {
        int j = i;
        while (j < n && bold[j])
          ++j;
        // s[i:j] should be bolded
        ans += ""<b>"" + s.substr(i, j - i) + ""</b>"";
        i = j;
      } else {
        ans += s[i++];
      }

    return ans;
  }
};"
"class Solution:
    def findAndReplacePattern(self, words: List[str], pattern: str) -> List[str]:
        
        
        
        ans=[]
        
        for j in words:
            
            if len(j)==len(pattern):
                if len(set(j)) == len(set(pattern)):
                    
                    pe={}
                    we={}
                    
                    h=0
                    for i in range(1,len(pattern)):
                        
                        if pattern[i]==pattern[i-1]:
                            if j[i-1]!=j[i]:
                                h+=1
                                break
                        elif pattern[i]!=pattern[i-1]:
                            if j[i-1]==j[i]:
                                h+=1
                                break
                        
                        if pattern[i] not in pe:
                            pe[pattern[i]]=1
                            if j[i] in we:
                                h+=1
                                break
                            else:
                                we[j[i]]=1
                        
                        if pattern[i] in pe:
                            pe[pattern[i]]+=1
                            
                            if j[i] not in we:
                                h+=1
                                break
                            else:
                                we[j[i]]+=1
                                
                    
                        
                    if h==0 and sorted(list(we.values()))==sorted(list(pe.values())):
                        ans.append(j)
                        
        return ans","class Solution {
 public:
  TreeNode* mergeTrees(TreeNode* root1, TreeNode* root2) {
    if (root1 == nullptr && root2 == nullptr)
      return nullptr;
    const int val = (root1 == nullptr ? 0 : root1->val) +
                    (root2 == nullptr ? 0 : root2->val);
    TreeNode* root = new TreeNode(val);
    root->left = mergeTrees(root1 == nullptr ? nullptr : root1->left,
                            root2 == nullptr ? nullptr : root2->left);
    root->right = mergeTrees(root1 == nullptr ? nullptr : root1->right,
                             root2 == nullptr ? nullptr : root2->right);
    return root;
  }
};"
"class Solution:
    def sumSubseqWidths(self, nums: List[int]) -> int:
        MOD = 1_000_000_007
        ans = 0 
        for i, x in enumerate(sorted(nums)): 
            ans += x * (pow(2, i, MOD) - pow(2, len(nums)-i-1, MOD))
        return ans % MOD","class Solution {
 public:
  int leastInterval(vector<char>& tasks, int n) {
    if (n == 0)
      return tasks.size();

    vector<int> count(26);

    for (const char task : tasks)
      ++count[task - 'A'];

    const int maxFreq = *max_element(begin(count), end(count));
    // Put the most frequent task in the slot first
    const int maxFreqTaskOccupy = (maxFreq - 1) * (n + 1);
    // Get # of tasks with same frequency as maxFreq,
    // we'll append them after maxFreqTaskOccupy
    const int nMaxFreq = std::count(begin(count), end(count), maxFreq);
    // Max(
    //   the most frequent task is frequent enough to force some idle slots,
    //   the most frequent task is not frequent enough to force idle slots
    // )
    return max(maxFreqTaskOccupy + nMaxFreq, static_cast<int>(tasks.size()));
  }
};"
"class Solution:
    def surfaceArea(self, G: List[List[int]]) -> int:
        N, C = len(G), [(1,0),(0,-1),(-1,0),(0,1)]
        G, S = [[0]*(N+2)] + [[0]+g+[0] for g in G] + [[0]*(N+2)], 2*N**2 - 2*sum(G,[]).count(0)
        for i,j in itertools.product(range(1,N+1),range(1,N+1)): S += sum(max(0,G[i][j]-G[i+x][j+y]) for x,y in C)
        return S
		
		
- Junaid Mansuri","class MyCircularQueue {
 public:
  /** Initialize your data structure here. Set the size of the queue to be k. */
  MyCircularQueue(int k) : k(k), q(k), rear(k - 1) {}

  /** Insert an element into the circular queue. Return true if the operation is
   * successful. */
  bool enQueue(int value) {
    if (isFull())
      return false;

    rear = ++rear % k;
    q[rear] = value;
    ++size;
    return true;
  }

  /** Delete an element from the circular queue. Return true if the operation is
   * successful. */
  bool deQueue() {
    if (isEmpty())
      return false;

    front = ++front % k;
    --size;
    return true;
  }

  /** Get the front item from the queue. */
  int Front() {
    return isEmpty() ? -1 : q[front];
  }

  /** Get the last item from the queue. */
  int Rear() {
    return isEmpty() ? -1 : q[rear];
  }

  /** Checks whether the circular queue is empty or not. */
  bool isEmpty() {
    return size == 0;
  }

  /** Checks whether the circular queue is full or not. */
  bool isFull() {
    return size == k;
  }

 private:
  const int k;
  vector<int> q;
  int size = 0;
  int front = 0;
  int rear;
};"
"class Solution:        
    def numSpecialEquivGroups(self, A: List[str]) -> int:
        return len(set(''.join(sorted(stri[i] for i in range(len(stri)) if i%2==0)) + ''.join(sorted(stri[i] for i in range(len(stri)) if i%2!=0)) for stri in A))","class Solution {
 public:
  TreeNode* addOneRow(TreeNode* root, int v, int d) {
    if (d == 1) {
      TreeNode* newRoot = new TreeNode(v);
      newRoot->left = root;
      return newRoot;
    }

    int depth = 0;
    queue<TreeNode*> q{{root}};

    while (!q.empty()) {
      ++depth;
      for (int sz = q.size(); sz > 0; --sz) {
        TreeNode* node = q.front();
        q.pop();
        if (node->left)
          q.push(node->left);
        if (node->right)
          q.push(node->right);
        if (depth == d - 1) {
          TreeNode* cachedLeft = node->left;
          TreeNode* cachedRight = node->right;
          node->left = new TreeNode(v);
          node->right = new TreeNode(v);
          node->left->left = cachedLeft;
          node->right->right = cachedRight;
        }
      }
      if (depth == d - 1)
        break;
    }

    return root;
  }
};"
"class Solution:
    def allPossibleFBT(self, N: int) -> List[TreeNode]:
        #impossible to satisfy the conditions
        if N % 2 == 0:
            return []
        
        full_list = {}
        
        #base cases
        full_list[1] = [TreeNode(0)]
        temp = TreeNode(0)
        temp.left = full_list[1][0]
        temp.right = full_list[1][0]
        full_list[3] = [temp]
        
        for x in range(5, N+1, 2):
            full_list[x] = []
            n_left = 1
            n_right = (x - 1) - n_left  # x-1 to exclude the root node
            
            #go through all combinations of children trees that add to x-1
            while n_right >= 1:
                for l_tree in full_list[n_left]:
                    for r_tree in full_list[n_right]:
                        temp = TreeNode(0)
                        temp.left = l_tree
                        temp.right = r_tree
                        #print(temp)
                        full_list[x].append(temp)
                
                n_left += 2
                n_right -= 2
        
        #print(len(full_list[N]))
        return full_list[N]","class Solution {
 public:
  int maxDistance(vector<vector<int>>& arrays) {
    int ans = 0;
    int min = 10000;
    int max = -10000;

    for (const vector<int>& A : arrays) {
      ans = std::max({ans, A.back() - min, max - A.front()});
      min = std::min(min, A.front());
      max = std::max(max, A.back());
    }

    return ans;
  }
};"
"class Solution:
    
    def is_increasing(self, items):
        start_value = items[0]
        for value in items: 
            if value > start_value:
                return True
            if value < start_value:
                return False
            
    def get_comparison_function(self, is_increasing):
        def is_asscending(a, b):
            return a <= b
        
        def is_decending(a, b):
            return a >= b
        
        if is_increasing: 
            return is_asscending
        return is_decending
    
    def isMonotonic(self, A: List[int]) -> bool:
        is_increasing = self.is_increasing(A)
        is_monotonic = self.get_comparison_function(is_increasing)
        
        for index in range(1, len(A)):
            previous_item = A[index - 1]
            item = A[index]
            if not is_monotonic(previous_item, item):
                return False
            
        return True","class Solution {
 public:
  int smallestFactorization(int num) {
    if (num == 1)
      return 1;

    long ans = 0;
    long base = 1;

    for (int i = 9; i > 1; --i)
      while (num % i == 0) {
        num /= i;
        ans = base * i + ans;
        base *= 10;
      }

    return num == 1 && ans <= INT_MAX ? ans : 0;
  }
};"
"class Solution(object):
    def increasingBST(self, root):
        """"""
        :type root: TreeNode
        :rtype: TreeNode
        """"""
        self.all_nodes = []

        def find_all_nodes(root):
            if root:
                self.all_nodes.append(root.val)
                find_all_nodes(root.left)
                find_all_nodes(root.right)

        find_all_nodes(root)
        self.all_nodes.sort()

        tree = TreeNode(self.all_nodes.pop())
        while len(self.all_nodes) > 0:
            t = TreeNode(self.all_nodes.pop())
            t.left = None
            t.right = tree
            tree = t

        return tree","class Solution {
 public:
  int maximumProduct(vector<int>& nums) {
    const int n = nums.size();
    sort(begin(nums), end(nums));
    return max(nums[n - 1] * nums[0] * nums[1],
               nums[n - 1] * nums[n - 2] * nums[n - 3]);
  }
};"
"class Solution:
    def subarrayBitwiseORs(self, A: List[int]) -> int:
        ans, vals = set(), set()
        for x in A: 
            vals = {x | xx for xx in vals} | {x}
            ans |= vals
        return len(ans)","class Solution {
 public:
  int kInversePairs(int n, int k) {
    constexpr int kMod = 1'000'000'007;
    // dp[i][j] := # of permutations of numbers 1..i with j inverse pairs
    vector<vector<int>> dp(n + 1, vector<int>(k + 1));

    // If there's no inverse pair, the permutation is unique ""123..i""
    for (int i = 0; i <= n; ++i)
      dp[i][0] = 1;

    for (int i = 1; i <= n; ++i)
      for (int j = 1; j <= k; ++j) {
        dp[i][j] = (dp[i][j - 1] + dp[i - 1][j]) % kMod;
        if (j - i >= 0)
          dp[i][j] = (dp[i][j] - dp[i - 1][j - i] + kMod) % kMod;
      }

    return dp[n][k];
  }
};"
"class Solution:
    def calcS(self,s):
        res = 0
        for x in s:
            res *= 26
            res += (ord(x)-96)

        return res

    def orderlyQueue(self, s: str, k: int) -> str:

        if k == 1:
            least = inf
            indx = 0
            ss = s*2
            d = len(s)
            for l in range(d):
                if least>self.calcS(ss[l:l+d]):
                    least = self.calcS(ss[l:l+d])
                    indx = l
            return ss[indx:indx+d]
                 
        else:
            D = defaultdict(int)
        
            for x in s:
                D[x] += 1
            
            abc = ""abcdefghijklmnopqrstuvwxyz""
            res = """"

            for x in abc:
                res += x*D[x]

            return res","class Solution {
 public:
  int scheduleCourse(vector<vector<int>>& courses) {
    int time = 0;
    sort(begin(courses), end(courses),
         [](const auto& a, const auto& b) { return a[1] < b[1]; });
    priority_queue<int> maxHeap;

    for (const vector<int>& c : courses) {
      const int duration = c[0];
      const int lastDay = c[1];
      maxHeap.push(duration);
      time += c[0];
      // If current course could not be taken, check if it's able to swap with a
      // Previously taken course with larger duration, to increase the time
      // Available to take upcoming courses
      if (time > lastDay)
        time -= maxHeap.top(), maxHeap.pop();
    }

    return maxHeap.size();
  }
};"
"class Solution:
    def atMostNGivenDigitSet(self, digits: List[str], n: int) -> int:
        limit = str(n)
        limit_len = len(limit)
        digits_len = len(digits)
        res = 0
        
        for idx in range(1, limit_len):
            res += pow(digits_len, idx)
        
        for idx in range(limit_len):
            is_start_eq_digit = False
            for digit in digits:
                if digit < limit[idx]:
                    res += pow(digits_len, limit_len - idx - 1)
                elif digit == limit[idx]:
                    is_start_eq_digit = True
            
            if not is_start_eq_digit:
                return res
        
        return res + 1","struct T {
  int i;
  int j;
  int num;  // nums[i][j]
  T(int i, int j, int num) : i(i), j(j), num(num) {}
};

class Solution {
 public:
  vector<int> smallestRange(vector<vector<int>>& nums) {
    auto compare = [&](const T& a, const T& b) { return a.num > b.num; };
    priority_queue<T, vector<T>, decltype(compare)> minHeap(compare);
    int mini = INT_MAX;
    int maxi = INT_MIN;

    for (int i = 0; i < nums.size(); ++i) {
      const int num = nums[i][0];
      minHeap.emplace(i, 0, num);
      mini = min(mini, num);
      maxi = max(maxi, num);
    }

    int minRange = mini;
    int maxRange = maxi;

    while (minHeap.size() == nums.size()) {
      const auto [i, j, _] = minHeap.top();
      minHeap.pop();
      if (j + 1 < nums[i].size()) {
        minHeap.emplace(i, j + 1, nums[i][j + 1]);
        maxi = max(maxi, nums[i][j + 1]);
        mini = minHeap.top().num;
        if (maxi - mini < maxRange - minRange) {
          minRange = mini;
          maxRange = maxi;
        }
      }
    }

    return {minRange, maxRange};
  }
};"
"class Solution:
    def numPermsDISequence(self, s: str) -> int:
        myStore = [1]
        
        for index, val in enumerate(s):
            if val == 0:
                continue
            temp = []
            for i in range(index + 2):
                if val == ""I"":
                    curr = sum(myStore[i:])
                else:
                    curr = sum(myStore[:i])
                temp.append(curr)
            myStore = temp
        return sum(myStore) % (10**9+7)","class Solution {
 public:
  bool judgeSquareSum(int c) {
    unsigned l = 0;
    unsigned r = sqrt(c);

    while (l <= r) {
      const unsigned sum = l * l + r * r;
      if (sum == c)
        return true;
      if (sum < c)
        ++l;
      else
        --r;
    }

    return false;
  }
};"
